country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","14-02-2026 12:00:00",22.969611,72.643500,OZONE,30,44,31
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","14-02-2026 12:00:00",30.379589,76.778328,NH3,9,11,10
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB","14-02-2026 12:00:00",28.6701,76.9254,PM2.5,70,337,241
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-02-2026 12:00:00",28.672342,77.315260,OZONE,1,104,5
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","14-02-2026 12:00:00",28.699793,77.165453,PM10,134,447,257
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","14-02-2026 12:00:00",22.977134,72.553024,CO,12,102,63
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","14-02-2026 12:00:00",22.977134,72.553024,OZONE,1,137,13
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","14-02-2026 12:00:00",23.020509,72.579261,PM10,125,197,156
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","14-02-2026 12:00:00",23.020509,72.579261,OZONE,1,74,26
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro","14-02-2026 12:00:00",23.593150,72.372792,PM10,75,183,128
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","14-02-2026 12:00:00",22.248853,70.776774,NO2,15,98,50
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","14-02-2026 12:00:00",22.248853,70.776774,SO2,19,130,57
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","14-02-2026 12:00:00",22.320153,73.216285,PM10,101,179,139
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","14-02-2026 12:00:00",22.320153,73.216285,SO2,7,9,8
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","14-02-2026 12:00:00",22.320153,73.216285,OZONE,NA,NA,NA
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","14-02-2026 12:00:00",23.041137,72.456691,CO,8,31,16
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","14-02-2026 12:00:00",23.023389,72.515201,PM2.5,85,193,131
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","14-02-2026 12:00:00",23.023389,72.515201,NO2,5,45,19
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","14-02-2026 12:00:00",23.023389,72.515201,CO,10,84,56
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","14-02-2026 12:00:00",23.076793,72.627874,SO2,7,25,11
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","14-02-2026 12:00:00",23.076793,72.627874,OZONE,2,83,16
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","14-02-2026 12:00:00",29.8006,76.4155,NH3,3,6,5
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB","14-02-2026 12:00:00",27.9002,76.9938,CO,64,85,74
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","14-02-2026 12:00:00",28.360699,76.936090,PM10,47,428,175
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","14-02-2026 12:00:00",28.360699,76.936090,NO2,46,56,51
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro","14-02-2026 12:00:00",21.755417,72.139056,OZONE,13,25,14
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","14-02-2026 12:00:00",23.221714,72.654328,PM10,79,256,152
